-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                       pipeline_forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.979s       142.46%        1.979s        1.979s             1
                                aten::cudnn_convolution         0.09%       1.792ms        14.85%     298.684ms       3.930ms     294.099ms        21.17%     294.099ms       3.870ms            76
                                aten::native_group_norm         0.03%     562.234us         9.60%     193.163ms       3.449ms     190.589ms        13.72%     190.589ms       3.403ms            56
                               vllm::moe_forward_shared         3.06%      61.552ms        20.41%     410.522ms       3.207ms     168.360ms        12.12%     259.166ms       2.025ms           128
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     168.360ms        12.12%     168.360ms     657.655us           256
void at::native::(anonymous namespace)::RowwiseMoment...         0.00%       0.000us         0.00%       0.000us       0.000us     167.751ms        12.07%     167.751ms       2.996ms            56
                                     record_param_comms         1.32%      26.636ms         9.31%     187.333ms     231.848us     147.049ms        10.58%     151.634ms     187.666us           808
                     aten::_efficient_attention_forward         0.05%     988.927us         7.13%     143.463ms       1.112ms     140.379ms        10.10%     143.316ms       1.111ms           129
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     139.619ms        10.05%     139.619ms       1.091ms           128
                                            aten::copy_         3.53%      71.011ms        10.96%     220.415ms      59.108us     115.528ms         8.31%     116.973ms      31.368us          3729
sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f...         0.00%       0.000us         0.00%       0.000us       0.000us      92.850ms         6.68%      92.850ms      11.606ms             8
sm90_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      92.827ms         6.68%      92.827ms       6.188ms            15
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      80.264ms         5.78%      80.264ms     308.708us           260
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us      80.264ms         5.78%      80.264ms     308.708us           260
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us      65.163ms         4.69%      65.163ms     127.272us           512
                                        nccl:all_to_all         0.00%       0.000us         0.00%       0.000us       0.000us      65.163ms         4.69%      65.163ms     127.272us           512
                                              aten::mul         0.26%       5.237ms         3.72%      74.900ms      67.783us      60.380ms         4.35%      60.380ms      54.642us          1105
sm90_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      35.641ms         2.57%      35.641ms       5.940ms             6
